CODIGO;TITULO
0;MEMBROS DAS FORÇAS ARMADAS, POLICIAIS E BOMBEIROS MILITARES                                                                       
1;MEMBROS SUPERIORES DO PODER PÚBLICO, DIRIGENTES DE ORGANIZAÇÕES DE INTERESSE PÚBLICO E DE EMPRESAS, GERENTES                      
2;PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES                                                                                            
3;TÉCNICOS DE NIVEL MÉDIO                                                                                                           
4;TRABALHADORES DE SERVIÇOS ADMINISTRATIVOS                                                                                         
5;TRABALHADORES DOS SERVIÇOS, VENDEDORES DO COMÉRCIO EM LOJAS E MERCADOS                                                            
6;TRABALHADORES AGROPECUÁRIOS, FLORESTAIS E DA PESCA                                                                                
7;TRABALHADORES DA PRODUÇÃO DE BENS E SERVIÇOS INDUSTRIAIS                                                                          
8;TRABALHADORES DA PRODUÇÃO DE BENS E SERVIÇOS INDUSTRIAIS                                                                          
9;TRABALHADORES EM SERVIÇOS DE REPARAÇÃO E MANUTENÇÃO                                                                               
